SPEEDLIMIT,SURFACEWIDTH,AWDT_ROUNDED,one_way,is_steep,is_paved,is_hwy,is_bus,is_truck,is_light,is_clear,is_child,severity
25.0,28.0,7900,0,1,0,0,1,0,1,1,0,1
25.0,46.0,19000,0,0,1,0,1,0,0,0,0,3
25.0,48.0,18100,0,1,1,0,1,0,0,0,0,2
25.0,48.0,18100,0,1,1,0,1,0,1,1,0,3
25.0,48.0,18100,0,1,1,0,1,0,0,0,0,3
25.0,46.0,17700,0,0,1,0,1,0,0,0,0,2
25.0,48.0,22300,0,1,1,0,1,0,0,0,0,3
25.0,47.0,21000,0,0,0,0,1,0,1,1,0,2
25.0,28.0,10100,0,0,1,0,1,0,1,0,0,2
25.0,48.0,6900,0,1,1,0,1,0,1,0,0,3
25.0,52.0,16000,0,0,1,0,1,0,1,0,0,2
25.0,52.0,16000,0,0,1,0,1,0,1,0,0,3
25.0,52.0,16000,0,0,1,0,1,0,1,0,0,2
25.0,52.0,16000,0,0,1,0,1,0,1,0,0,3
25.0,52.0,14600,0,0,0,0,1,0,1,0,0,3
25.0,52.0,16000,0,0,1,0,1,0,1,0,0,3
25.0,52.0,15000,0,0,1,0,1,0,1,0,1,3
25.0,52.0,15000,0,0,1,0,1,0,0,0,0,1
25.0,52.0,16500,0,0,1,0,1,0,1,0,0,2
25.0,52.0,13000,0,0,1,0,0,0,0,0,0,3
25.0,48.0,10400,0,0,0,0,1,0,1,0,0,3
25.0,48.0,10400,0,0,0,0,1,0,1,1,0,3
25.0,52.0,14600,0,0,1,0,1,0,1,0,0,2
20.0,0.0,9500,0,0,0,0,0,0,1,0,0,2
25.0,36.0,9000,0,1,1,0,1,0,1,0,0,3
25.0,36.0,9000,0,1,1,0,1,0,0,0,0,2
25.0,36.0,9000,0,1,1,0,1,0,0,0,0,2
25.0,36.0,9000,0,1,1,0,1,0,1,0,0,2
25.0,36.0,9000,0,1,1,0,1,0,0,1,0,3
25.0,36.0,9000,0,1,1,0,1,0,1,0,0,2
25.0,36.0,9000,0,1,1,0,1,0,1,0,0,3
25.0,36.0,9000,0,1,1,0,1,0,1,0,0,2
25.0,54.0,11400,0,0,1,0,1,0,1,0,0,2
20.0,25.0,11400,0,0,0,0,0,0,1,1,0,2
25.0,31.0,4200,0,1,1,0,1,0,0,0,0,2
25.0,31.0,4200,0,1,1,0,1,0,1,0,0,2
25.0,31.0,4200,0,1,1,0,1,0,1,0,0,3
25.0,31.0,4200,0,1,1,0,1,0,1,0,0,2
25.0,31.0,4200,0,1,1,0,1,0,1,0,0,3
20.0,31.0,13800,0,0,1,0,0,0,1,0,0,2
20.0,25.0,11200,1,1,0,0,0,0,1,0,0,3
20.0,25.0,6300,0,0,1,0,0,0,1,0,0,3
25.0,48.0,17600,0,0,1,0,1,0,1,1,1,3
25.0,54.0,14000,1,0,1,0,1,0,0,0,0,3
25.0,42.0,2300,1,1,1,0,1,0,1,0,0,3
20.0,42.0,18400,1,1,0,0,0,0,0,0,0,3
25.0,40.0,7800,0,0,1,0,0,0,0,0,0,2
20.0,28.0,8000,0,1,1,0,0,0,1,0,0,2
25.0,42.0,10000,1,1,1,0,1,0,1,0,0,3
25.0,50.0,15000,1,0,1,0,1,0,1,0,0,2
25.0,46.0,19000,0,0,1,0,1,0,1,0,0,3
20.0,19.0,1900,0,0,1,0,0,0,1,0,0,1
25.0,33.0,8300,0,0,1,0,1,1,1,0,0,2
20.0,23.0,22000,0,0,1,0,0,0,1,0,0,2
25.0,30.0,12300,0,0,0,0,0,0,1,0,0,1
25.0,32.0,7100,0,0,1,0,1,0,1,0,0,3
25.0,54.0,19900,0,0,0,0,1,0,1,0,0,3
25.0,18.0,19900,0,0,0,0,1,0,1,0,0,3
25.0,18.0,19900,0,0,0,0,1,0,0,0,0,3
25.0,54.0,25500,0,0,1,0,1,0,1,0,0,2
25.0,54.0,19900,0,0,0,0,1,0,0,0,0,3
25.0,45.0,5700,0,0,1,0,1,0,1,0,0,2
25.0,45.0,5700,0,0,1,0,1,0,1,0,0,3
25.0,45.0,5700,0,0,1,0,1,0,0,0,0,3
25.0,42.0,27700,0,0,1,0,1,0,1,0,0,2
25.0,63.0,22500,0,1,1,0,1,0,1,0,0,3
25.0,44.0,25000,0,0,0,0,1,0,1,0,0,2
25.0,20.0,4500,0,0,1,0,1,0,0,0,0,2
25.0,54.0,13300,0,0,1,0,1,0,1,0,0,3
25.0,54.0,13300,0,0,1,0,1,0,1,0,0,1
25.0,54.0,13300,0,0,1,0,1,0,1,0,0,3
25.0,74.0,11900,0,0,1,0,1,0,1,0,0,3
25.0,54.0,13300,0,0,1,0,1,0,0,0,0,3
25.0,54.0,13300,0,0,1,0,1,0,1,0,0,3
25.0,54.0,13300,0,0,1,0,1,0,1,0,0,2
25.0,54.0,13300,0,0,1,0,1,0,1,0,0,3
25.0,54.0,13300,0,0,1,0,1,0,1,0,0,2
25.0,54.0,13300,0,0,1,0,1,0,0,0,0,3
25.0,54.0,13300,0,0,1,0,1,0,1,0,0,2
25.0,74.0,11900,0,0,1,0,1,0,1,0,0,3
25.0,54.0,13300,0,0,1,0,1,0,0,0,0,3
25.0,54.0,8800,0,0,1,0,1,0,0,0,0,2
25.0,54.0,8800,0,0,1,0,1,0,0,0,0,3
25.0,54.0,13300,0,0,1,0,1,0,1,0,0,3
