line_i,REPORT NUMBER,DATETIME,geometry,line_geo,SPEEDLIMIT,SURFACEWIDTH,one_way,is_steep,is_paved,is_hwy,is_bus,is_truck,is_light,is_clear,is_hit_run,is_workzone,is_child,impaired,speeding,driver_16_25,driver_65_plus,severity
2193.0,3703985,2017-05-17 07:50:00,POINT (-122.2787670045382 47.52422921959611),"LINESTRING (-122.2789121073734 47.52426611267865, -122.2789063068972 47.52425421182266, -122.2788945352524 47.52424249873442, -122.2788763524783 47.5242340354576, -122.2788518885796 47.52423067908718, -122.2788196919692 47.52422806794824, -122.2787793067396 47.52422772719661, -122.2787436172509 47.52423205674489, -122.2787290696795 47.52423705824249, -122.2787182595489 47.52424521762022, -122.2787018929946 47.52426379367042, -122.2786454941225 47.52418847384629, -122.278622337668 47.52416271697336, -122.2784724182132 47.5241734213728, -122.2783506460119 47.52417113550045, -122.2782373071367 47.52416682609675, -122.278109611024 47.52415502901825, -122.27807159754 47.52415021471177, -122.2780595449392 47.5242580138044)",20.0,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
14252.0,3764682,2017-09-04 19:48:00,POINT (-122.2809062295877 47.53540388109533),"LINESTRING (-122.2818935964326 47.53538868228623, -122.2808464003548 47.53540480206315)",20.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
4661.0,E719685,2017-09-30 18:13:00,POINT (-122.2830769808482 47.54068384370528),"LINESTRING (-122.2847942086675 47.54065936600179, -122.2835250633893 47.54067918055793, -122.2830482928782 47.54068414225793)",20.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
10479.0,E982362,2019-10-23 17:07:00,POINT (-122.3278839410108 47.61641160182963),"LINESTRING (-122.3278939648688 47.61570576533483, -122.3278806731593 47.61664170971983)",25.0,38.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3
18787.0,3814265,2018-09-11 17:49:00,POINT (-122.3279016752908 47.61666235324846),"LINESTRING (-122.3278806731593 47.61664170971983, -122.3280280517875 47.61678657191787, -122.3280874715662 47.6168506774335, -122.3281188586499 47.61694110481614, -122.3281590733175 47.61735017287031)",30.0,0.0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,3
6359.0,3795366,2019-09-05 08:16:00,POINT (-122.3278882306334 47.61849620616167),"LINESTRING (-122.3307229609737 47.61849175760233, -122.3304150052714 47.61846147653279, -122.3303058910723 47.61845351005665, -122.3301654818368 47.6184451390698, -122.3300153419691 47.61843730266326, -122.3298701765563 47.61843430782979, -122.329635720205 47.61843738893302, -122.3279924495643 47.61849459997569, -122.3278535243721 47.61849674104252)",25.0,63.0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,2
848.0,E987780,2019-11-25 20:00:00,POINT (-122.3327256937495 47.62426942237527),"LINESTRING (-122.3330067488893 47.62426868277979, -122.3317254888605 47.62427205441045)",25.0,34.0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,3
8961.0,3750624,2019-08-01 18:20:00,POINT (-122.3566149663031 47.62458263210102),"LINESTRING (-122.3567092208327 47.6245829734798, -122.3554039223636 47.62457824584295)",25.0,59.0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,3
8442.0,E973666,2019-10-01 08:45:00,POINT (-122.3351726274843 47.6246869567311),"LINESTRING (-122.3358259943682 47.62468191971494, -122.3342879686585 47.6246937768515)",25.0,35.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3
3701.0,E750706,2017-12-20 18:15:00,POINT (-122.348237333756 47.6245531415106),"LINESTRING (-122.3488767803672 47.62456433120636, -122.3481668753181 47.62455190855625, -122.3475680975293 47.62449513406233)",25.0,68.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,3
11270.0,3753505,2017-05-18 19:11:00,POINT (-122.3358463256492 47.62454281981335),"LINESTRING (-122.3371315350142 47.62454774343344, -122.3358271257147 47.62454274625865)",25.0,45.0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
6366.0,EA52826,2020-08-05 19:31:00,POINT (-122.3423538449403 47.62443553560753),"LINESTRING (-122.3423612668564 47.6232237501323, -122.3423536622116 47.62446536995574)",25.0,28.0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1
17253.0,E855478,2018-10-30 06:06:00,POINT (-122.3462683923158 47.62449077897111),"LINESTRING (-122.3462686959769 47.62446290468379, -122.346261919834 47.6250849144034, -122.3462591736443 47.62541810273792)",25.0,40.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
17253.0,3746751,2017-07-28 21:23:00,POINT (-122.3462683923158 47.62449077897111),"LINESTRING (-122.3462686959769 47.62446290468379, -122.346261919834 47.6250849144034, -122.3462591736443 47.62541810273792)",25.0,40.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
12118.0,E909959,2019-04-05 14:39:00,POINT (-122.3340109906733 47.70969020399399),"LINESTRING (-122.3340088920534 47.70957008991432, -122.334024739476 47.71047711386977)",25.0,40.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,3
20122.0,3762265,2016-11-08 16:51:00,POINT (-122.3339157061379 47.70408448738016),"LINESTRING (-122.3339030054083 47.70321950351815, -122.333929683267 47.70503640048921)",25.0,44.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,3
854.0,E682803,2017-05-07 16:43:00,POINT (-122.3340852415653 47.71411642534369),"LINESTRING (-122.3340850571257 47.71410474504643, -122.334102502733 47.71520955014654, -122.3341063450303 47.71545278229259, -122.3341137639229 47.71592243744472, -122.3341138518588 47.71592797240754)",25.0,20.0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,3
23392.0,E993399,2019-12-14 12:54:00,POINT (-122.3337435406503 47.66027776802423),"LINESTRING (-122.3337663977276 47.65912854876685, -122.3337431686354 47.66029647236913)",20.0,25.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
8963.0,3769259,2016-09-22 07:45:00,POINT (-122.3339257526245 47.64694856875602),"LINESTRING (-122.3339266343653 47.64686730964199, -122.3339246023612 47.64705457425188, -122.3339139926351 47.64803190609896)",20.0,30.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
