REPORT NUMBER,PRIMARY TRAFFICWAY,INTERSECTING TRAFFICWAY,DATETIME,LONGITUDE,LATITUDE,is_dry,is_light,is_clear,is_hit_run,is_workzone,is_child,impaired,speeding,driver_16_25,driver_65_plus,severity
E870929,8TH AVE,,2018-12-05 12:00:00,-122.33489849239164,47.61467453108274,1,1,0,0,0,0,0,0,0,0,2
3753183,8TH AVE,,2017-04-10 08:10:00,-122.33711777576214,47.61605173210636,1,1,0,0,0,0,0,0,1,0,3
3750458,8TH AVE,,2019-07-17 17:19:00,-122.33627028991934,47.61556107847406,1,1,0,0,0,0,0,0,0,0,3
3811982,8TH AVE,BLANCHARD ST,2018-10-13 20:09:00,-122.33917121212562,47.61726378117478,1,0,0,0,0,0,0,0,1,0,2
3814406,8TH AVE,CONVENTION CENTER ACCESS RD,2018-11-13 17:45:00,-122.33128330140043,47.6110147859879,1,0,0,0,0,0,0,0,0,0,3
3835876,8TH AVE,PINE ST,2020-02-20 19:09:00,-122.33318873835644,47.613108173001365,1,0,1,0,0,0,0,0,0,0,2
E714118,8TH AVE,PINE ST,2017-09-15 10:47:00,-122.3331887374142,47.6131081455965,1,1,0,0,0,0,0,0,0,1,3
3795881,8TH AVE,VIRGINIA ST,2019-05-22 16:05:00,-122.33657334700715,47.61574514549307,1,1,0,0,0,0,0,0,0,0,1
3751587,8TH AVE NE,NE 45TH ST,2018-12-15 17:06:00,-122.31978150210544,47.66131980234808,1,0,0,0,0,0,0,0,0,1,2
E676643,8TH AVE NW,,2017-05-09 08:05:00,-122.36621977952073,47.6596073755099,1,1,0,0,0,0,0,0,0,1,3
E642444,8TH AVE NW,,2017-02-14 07:40:00,-122.36613263634622,47.6767599388599,1,1,0,0,0,0,0,0,0,0,2
3376166,8TH AVE NW,NW 49TH ST,2019-08-29 07:48:00,-122.36617457975834,47.66437518634983,1,1,0,0,0,0,0,0,0,0,3
3769624,8TH AVE NW,NW 51ST ST,2017-05-15 18:04:00,-122.36616940386013,47.66571850999768,0,1,0,0,0,0,0,0,0,0,3
E845341,8TH AVE NW,NW 56TH ST,2018-09-20 07:46:00,-122.36617452252095,47.66943063136979,0,1,0,0,0,0,0,0,0,0,3
3694060,8TH AVE NW,NW 57TH ST,2017-04-03 08:47:00,-122.36617753743903,47.67015272182688,1,1,0,0,0,0,0,0,0,1,3
